Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;1003;16;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;2002;22;1
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;303975;3;0.194866
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;302056;79;0.995333
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;1011;25;1
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;1004;10;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;1001;12;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;303074;3;0.426513
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;301966;40;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;1015;10;1
GUI_ID_QUADSEARCH;GUI_ID_TRIANGLE_BUTTON;1002;3;1
GUI_ID_GREEDY;GUI_ID_TRIANGLE_BUTTON;1001;5;1
GUI_ID_FORCE;GUI_ID_TRIANGLE_BUTTON;304307;3;0.990385
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;302652;8;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;1013;5;1
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;1005;11;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;1002;13;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;301128;4;0.290168
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;301705;50;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;1015;15;1
GUI_ID_QUADSEARCH;GUI_ID_POINTED_TRIANGLE_BUTTON;1004;8;1
GUI_ID_GREEDY;GUI_ID_POINTED_TRIANGLE_BUTTON;1002;12;0.984894
GUI_ID_FORCE;GUI_ID_POINTED_TRIANGLE_BUTTON;301873;3;0.441088
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;302450;31;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;300749;11;0.984894
GUI_ID_QUADSEARCH;GUI_ID_ELIPSE_BUTTON;1000;13;1
GUI_ID_GREEDY;GUI_ID_ELIPSE_BUTTON;1002;22;1
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;305310;3;0.119306
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;303123;38;0.982646
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;1003;23;1
