Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;GUI_ID_POINTED_TRIANGLE_BUTTON;1002;9;1
GUI_ID_GREEDY;GUI_ID_POINTED_TRIANGLE_BUTTON;1006;12;0.9729
GUI_ID_FORCE;GUI_ID_POINTED_TRIANGLE_BUTTON;305555;3;0.330623
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;302307;39;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;300380;12;0.9729
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;1014;23;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;4033;35;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;304269;3;0.153011
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;302060;97;0.997038
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;1001;34;1
GUI_ID_QUADSEARCH;GUI_ID_TRIANGLE_BUTTON;1012;9;1
GUI_ID_GREEDY;GUI_ID_TRIANGLE_BUTTON;1014;16;1
GUI_ID_FORCE;GUI_ID_TRIANGLE_BUTTON;303990;3;0.332008
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;303323;56;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;1011;14;1
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;1007;9;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;1005;16;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;302478;3;0.276896
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;301848;62;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;1009;17;1
GUI_ID_QUADSEARCH;GUI_ID_ELIPSE_BUTTON;1004;5;1
GUI_ID_GREEDY;GUI_ID_ELIPSE_BUTTON;1003;4;1
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;304082;3;0.432203
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;300966;7;0.915254
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;1006;6;1
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;1015;12;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;2023;18;1
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;304605;3;0.175723
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;301839;71;0.996532
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;1001;23;1
