Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;GUI_ID_ELIPSE_BUTTON;2;2;1
GUI_ID_GREEDY;GUI_ID_ELIPSE_BUTTON;6;3;1
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;129854;2;0.551282
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;98654;10;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;8;3;1
GUI_ID_GRID_APPROACHES;GUI_ID_ELIPSE_BUTTON;3;2;1
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;6;4;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;99;6;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;103823;2;0.51711
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;83993;21;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;70;6;1
GUI_ID_GRID_APPROACHES;GUI_ID_HEXAGON_BUTTON;4;4;0.163498
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;3;3;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;25;4;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;103874;2;0.715686
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;78910;27;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;39;4;1
GUI_ID_GRID_APPROACHES;GUI_ID_TRAPEZE_BUTTON;2;4;1
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;132;35;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;19870;27;0.877244
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;92300;3;0.107724
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;33565;238;0.999165
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;2818;60;1
GUI_ID_GRID_APPROACHES;GUI_ID_SQUARE_BUTTON;3;60;1
GUI_ID_QUADSEARCH;GUI_ID_CARDOOR_BUTTON;88;28;1
GUI_ID_GREEDY;GUI_ID_CARDOOR_BUTTON;11169;42;1
GUI_ID_FORCE;GUI_ID_CARDOOR_BUTTON;94277;3;0.0959849
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;32940;161;0.996236
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;2384;50;1
GUI_ID_GRID_APPROACHES;GUI_ID_CARDOOR_BUTTON;80;42;1
